prolific_id,MICO,MIIN,R,Q,Other,C,S,N,%MIC,R:Q,C:S
669a4f388b2de8df723faf1e,11,0,15,12,4,9,2,12,1.0,1.25,4.5
5e9a162fc140d109fe1a4618,6,0,7,8,5,3,2,5,1.0,0.875,1.5
6736473dc33f78037ffd2be5,10,0,17,13,4,0,9,8,1.0,1.3076923076923077,0.0
668c7da70cc4411c509449f7,11,1,35,23,12,16,0,17,0.9166666666666666,1.5217391304347827,0.0
5fdd1030cbe069378caa7dab,3,0,18,11,4,1,12,5,1.0,1.6363636363636365,0.0833333333333333
5ab8cbc53607f50001929fb9,6,0,36,26,18,5,5,17,1.0,1.3846153846153846,1.0
671fad84ba3eb025db97acd1,12,0,21,23,52,14,2,12,1.0,0.9130434782608696,7.0
60a8bd22d03adbe92cbb9a5e,7,0,17,14,14,7,3,10,1.0,1.2142857142857142,2.3333333333333335
6645d12da196111f27f80d68,9,0,14,11,4,1,7,9,1.0,1.2727272727272727,0.1428571428571428
5d42486206811e001ada5b4b,30,1,30,23,16,10,4,18,0.967741935483871,1.3043478260869563,2.5
663945510818036ee5453ff7,5,0,23,9,2,13,3,6,1.0,2.5555555555555554,4.333333333333333
6615283f82799fd70e2c056b,8,0,15,9,5,1,8,7,1.0,1.6666666666666667,0.125
59edca95ac0af70001b36f9c,12,2,21,18,6,12,2,7,0.8571428571428571,1.1666666666666667,6.0
6693ad02e4dd0cfa3a193d75,16,1,20,16,28,7,7,17,0.9411764705882352,1.25,1.0
5cc65f978d2a1e000185c4e9,3,0,13,10,5,2,5,7,1.0,1.3,0.4
5ea443b82d77062697ac9814,8,0,15,13,4,0,5,6,1.0,1.1538461538461535,0.0
58954e2dc88c680001dd4b7e,10,0,35,28,5,18,7,14,1.0,1.25,2.5714285714285716
6053e01a6a8e8516ba7d47a7,9,0,19,12,3,16,3,6,1.0,1.5833333333333333,5.333333333333333
66510b4939f7b5b6cff2cca4,6,0,8,8,7,5,1,6,1.0,1.0,5.0
6709cc4d966fd4b76c0f0286,9,0,30,21,6,15,5,9,1.0,1.4285714285714286,3.0
5cfbf333ac28dd00196e807b,6,0,13,10,8,2,5,9,1.0,1.3,0.4
6733afc24000cce390aa2575,16,0,13,13,14,3,4,11,1.0,1.0,0.75
604bd44cb5668ba12cc9376e,10,0,12,12,2,1,0,12,1.0,1.0,0.0
65afd259807fecf459149c11,19,6,24,19,12,17,1,7,0.76,1.263157894736842,17.0
664d8066db4407ac502a5979,13,0,27,21,10,11,2,11,1.0,1.2857142857142858,5.5
629e42a3800b66722644beda,17,2,15,18,13,8,0,12,0.8947368421052632,0.8333333333333334,0.0
608f39d2c76e436967135846,9,7,20,24,10,9,12,6,0.5625,0.8333333333333334,0.75
67367d0a333a8316c597fe24,12,1,21,14,4,10,7,7,0.9230769230769232,1.5,1.4285714285714286
568e7e33e3ef9e000da202a7,6,0,12,9,4,2,4,11,1.0,1.3333333333333333,0.5
6565f3239d4b3557933760d3,8,0,7,9,5,1,3,6,1.0,0.7777777777777778,0.3333333333333333
6605c7d99fbe34468c431d43,14,8,24,19,9,8,4,14,0.6363636363636364,1.263157894736842,2.0
60895dd42aa4dab10a53566c,7,0,11,10,2,0,7,15,1.0,1.1,0.0
57e7b82b21d77800018e51fe,12,2,26,18,10,16,7,6,0.8571428571428571,1.4444444444444444,2.2857142857142856
613dd5fb512aabe8d5d32393,15,0,6,15,22,13,3,3,1.0,0.4,4.333333333333333
667cfd0b827314cd6f7027c4,22,2,37,26,11,6,7,18,0.9166666666666666,1.4230769230769231,0.8571428571428571
66d804534578af1dec99f245,8,0,22,10,4,11,5,3,1.0,2.2,2.2
65dde97292c3b8d0e4fa00d7,18,2,32,21,9,18,2,13,0.9,1.5238095238095235,9.0
5ef1a79464e5837c95df3de8,14,0,28,18,10,11,18,10,1.0,1.5555555555555556,0.6111111111111112
5e711d9e908b46031e32138c,8,0,20,13,9,17,13,4,1.0,1.5384615384615383,1.3076923076923077
5e19b24b2bf9512392d6dd90,12,2,10,14,22,15,4,6,0.8571428571428571,0.7142857142857143,3.75
