Conversation ID,C,MICO,MIIN,N,Other,Q,R,S,%MIC,R:Q,%CT
high_125,70,12,1,74,11,29,105,77,99.31972789115646,3.6206896551724137,47.61904761904761
high_126,28,12,5,22,6,16,18,10,90.19607843137256,1.125,73.68421052631578
high_127,17,5,7,23,10,28,13,6,86.79245283018868,0.4642857142857143,73.91304347826086
high_128,0,6,2,87,22,54,49,5,98.1981981981982,0.9074074074074074,0.0
high_129,30,10,7,16,9,14,14,15,84.44444444444444,1.0,66.66666666666666
high_130,4,1,1,8,7,11,6,7,94.73684210526315,0.5454545454545454,36.36363636363637
high_131,10,1,1,12,4,9,8,4,94.73684210526315,0.8888888888888888,71.42857142857143
high_132,14,14,8,14,25,10,19,11,84.31372549019608,1.9,56.00000000000001
high_133,23,7,0,29,20,27,17,12,100.0,0.6296296296296297,65.71428571428571
high_134,11,6,5,19,13,12,6,4,82.75862068965517,0.5,73.33333333333333
high_135,14,10,2,28,10,31,27,8,97.14285714285714,0.8709677419354839,63.63636363636363
high_136,1,9,17,55,27,67,31,4,86.29032258064517,0.4626865671641791,20.0
high_137,20,3,4,19,9,13,3,8,82.6086956521739,0.23076923076923078,71.42857142857143
high_138,4,8,2,44,6,13,15,4,94.73684210526315,1.1538461538461537,50.0
high_139,8,3,0,7,12,10,5,4,100.0,0.5,66.66666666666666
high_140,1,0,0,16,6,0,5,1,100.0,0.0,50.0
high_141,0,0,0,13,2,1,8,2,100.0,8.0,0.0
high_142,25,4,2,37,7,14,28,17,95.83333333333334,2.0,59.523809523809526
high_143,15,11,1,42,18,31,34,16,98.7012987012987,1.096774193548387,48.38709677419355
high_144,20,12,1,44,16,33,38,23,98.80952380952381,1.1515151515151516,46.51162790697674
high_145,15,11,6,41,18,26,26,27,91.30434782608695,1.0,35.714285714285715
high_146,7,5,4,26,9,3,21,15,87.87878787878788,7.0,31.818181818181817
high_147,2,5,0,19,9,14,7,28,100.0,0.5,6.666666666666667
high_148,36,4,5,32,20,22,22,9,90.56603773584906,1.0,80.0
high_149,32,5,2,27,3,19,43,8,97.10144927536231,2.263157894736842,80.0
high_150,10,17,8,26,10,17,19,13,86.88524590163934,1.1176470588235294,43.47826086956522
high_151,27,0,4,42,6,46,53,53,96.11650485436894,1.1521739130434783,33.75
high_152,7,1,2,13,5,12,11,1,92.3076923076923,0.9166666666666666,87.5
high_153,16,5,1,32,3,26,20,22,98.07692307692307,0.7692307692307693,42.10526315789473
high_154,30,3,2,37,5,13,25,7,95.34883720930233,1.9230769230769231,81.08108108108108
high_155,40,4,0,41,22,25,46,13,100.0,1.84,75.47169811320755
