strategy1,strategy2,r2_1,r2_2,r2_combined,adj_r2_combined,improvement,coef1,coef2,se_coef1,se_coef2,p_value_1,p_value_2,f_stat,f_p_value,p_improvement
CO,ADP,0.08023909694427467,0.02824495057659926,0.09912809443835247,0.09155774229077562,0.018888997494077797,-0.032200272808239436,0.03913067735390565,0.007440996641988521,0.017516847709259264,2.222211001812191e-05,0.02642009806373169,13.09425143057335,4.026263112355544e-06,0.02642009806373191
SR,GI,0.03890823572026059,0.026084312689894418,0.05740715532885132,0.049486207054303843,0.018498919608590736,0.0033711247843814596,0.010885164110288068,0.0011987202308129112,0.005036575972927388,0.005329746846253425,0.031675945988158816,7.24751044181399,0.0008801820352606349,0.03167594598815926
ST,ADP,0.06282483226951996,0.02824495057659926,0.07991158491827766,0.07217974949742278,0.017086752648757697,0.014302114268211015,0.03744104741328633,0.003912203708374378,0.017809204713363096,0.00031555523286508347,0.03657423172064678,10.335396522116199,4.962699021704431e-05,0.036574231720647554
ADP,GI,0.02824495057659926,0.026084312689894418,0.043743771340594595,0.03570800471320468,0.015498820763995336,0.03875628206001731,0.010174617413572609,0.018486388462817818,0.005180449206355204,0.03709602933656231,0.05068921423967376,5.443633864564174,0.004879091484829123,0.05068921423967432
SU,ADP,0.05251655148314638,0.02824495057659926,0.0678269657472893,0.05999357890482959,0.015310414264142924,0.020730340844322605,0.03577012710113219,0.0065210462668977565,0.0180920092723347,0.001673935220793954,0.04918186538588931,8.658702437576924,0.0002344702432243162,0.04918186538588887
ST,SU,0.06282483226951996,0.05251655148314638,0.0779799589977539,0.07023189142630648,0.015155126728233936,0.011339555471944977,0.014353939166944836,0.004423025788895936,0.007257265592092995,0.010970182724382438,0.04909676482728931,10.064439717216626,6.369464997146856e-05,0.04909676482728953
SU,SR,0.05251655148314638,0.03890823572026059,0.06602980996234675,0.058181320970433714,0.013513258479200374,0.01827965211232303,0.0023875794484713607,0.006953260625174336,0.0012866363558935144,0.009123066190951823,0.06473607494660127,8.413060148314253,0.0002948687642504444,0.06473607494660194
AF,ST,0.1013205217887495,0.06282483226951996,0.11458339601788614,0.10714292035417083,0.013262874229136634,0.02091849335815648,0.00809835847225602,0.005608214884019744,0.0042890738456893805,0.00023945513347012337,0.06022394949759646,15.400009515073316,5.135370352293833e-07,0.060223949497596796
OQ,SU,0.09701991790034781,0.05251655148314638,0.11024109125067405,0.10276412563093174,0.013221173350326243,0.012898764814307236,0.01277623258839091,0.0032825819625324007,0.006793842956302104,0.00011162223318517128,0.06125288508073856,14.744094978796303,9.191979892797519e-07,0.061252885080735564
CO,RCW,0.08023909694427467,0.03393932135064248,0.0926066511174709,0.08498149692518076,0.012367554173196238,-0.030259450377354342,-0.011211134763183441,0.007713867801142051,0.006224679277621722,0.00011458851705947737,0.0729563338280772,12.144888979570538,9.498945596209118e-06,0.07295633382807465
